collection,file,bytes,sha256,source
paper_facing_result_bundle,data/paper_facing_result_bundle/README.md,1771,399a63f05d5935152829fad49db1582ff1321e4c983c9ee5948f93c8752273fa,README.md
paper_facing_result_bundle,data/paper_facing_result_bundle/manifest.json,14244,5b8e8b8e2b5cc4e606e8716b3cab0b1768bdca81fb3814e4818fe07271c6e21d,manifest.json
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_binding_drift_author_adaptation_v7_full_protocol.md,4056,cc033558f5a732c137e943d0ffd5baaacfaffb98c7162a38b694ff5a5e8d3f14,reports/TRI_binding_drift_author_adaptation_v7_full_protocol.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_convention_told_natural_history_protocol.md,4437,aa8eb3464bdcbd59a06af5dc9beb2a6e9ea7b8dba7d23f7be07e0aba88b063aa,reports/TRI_convention_told_natural_history_protocol.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_model_authored_linguistic_stress_transport_repair_addendum.md,2752,acb84df0540c2a6aec46ebd7f2a89f68ab5ae44d7067c3493d96ff489478a7cc,reports/TRI_model_authored_linguistic_stress_transport_repair_addendum.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_revision_matched_audits_execution_log.md,1519,6db2c7c84d826636cbcb67a2e68c8e52792759a046f845dd5c4e1453ab4a5deb,reports/TRI_revision_matched_audits_execution_log.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_revision_matched_audits_protocol.md,4337,fb32205e718834b876168c5b1d5f4656f71ae2ec14baa77cefaf10d4c145b762,reports/TRI_revision_matched_audits_protocol.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_submission_critical_execution_runbook.md,3891,b806b23da1c0894be7eca6366ba31f869e94fc3ed47e9970434f9a9bf782559e,reports/TRI_submission_critical_execution_runbook.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/TRI_submission_critical_replication_addendum_20260728.md,5827,1d896427644e254bebcc3759c17d01e25d5ba8448456149d027c72eabe965ba3,reports/TRI_submission_critical_replication_addendum_20260728.md
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/analysis.json,23051,f69ee9a85ad3c87509431819a7b69f465acb8b3bbc099cce6efe804fe11d16e7,reports/analysis.json
paper_facing_result_bundle,data/paper_facing_result_bundle/reports/analysis.md,4025,1f9f0b359272fcaef635eaef25dc8a3d5a35035822b0c6e50a3dd27a43367237,reports/analysis.md
